TEXT;Age group;Gender;TOPICS
Cash registers self-service;< 30;Male;Self-checkout
Bad vegetables, long queues.;60+;Male;Quality of FV | Queues | Quality of goods
Self-service checkout suits me. Awesome thing. It will speed up a lot.;30 - 60;Female;Look and feel | Queues | Self-checkout
I have to go home from kindergarten, buy everything;60+;Male;Availability of goods
It is not wrong and the sky is perfect;30 - 60;Female;Other
Because it is confusing, though well stocked.;< 30;Female;Arrangement of the store | Clarity
Cheap and quality goods near the residence;60+;Male;Pricing | Proximity | Quality of goods
Good pastry, sausages. Total goods selection.;60+;Female;Quality of bakery | Range of goods | Quality of goods
There is no other shop here so there is nothing else to recommend;< 30;Male;Proximity
So I don't know ..., I can't think of anything;< 30;Female;Other
Well, it's a big shop, a big choice and I can buy everything here;60+;Male;Availability of goods | Look and feel | Range of goods
It's clean and I bought what I wanted;< 30;Male;Availability of goods | Range of goods | Cleanliness
I can not put more in a larger store I just buy better is there a bigger choice Hi there is nothing to do with it;30 - 60;Female;Look and feel | Space
Transparency, fresh fruits and vegetables;< 30;Male;Quality of FV | Clarity | Quality of goods
I'm happy here, nice shop;60+;Female;Look and feel
Vegetables, queue at the checkout;< 30;Female;Quality of FV | Queues | Quality of goods
Larger assortment, better supply;60+;Female;Availability of goods | Range of goods
Well, let's choose, we don't have a problem.;60+;Male;Availability of goods | Look and feel | Range of goods
It's too expensive;< 30;Male;Pricing
Large selection of well-organized events;< 30;Male;Clarity | Promotions | Range of goods
The store is well located, everything is easy to find;30 - 60;Male;Arrangement of the store | Clarity
More expensive goods and little clear.;< 30;Female;Pricing | Clarity
Pleasant purchase, clear shop;< 30;Female;Arrangement of the store | Look and feel | Clarity
Good selection of children's clothes, queues at checkout, unfinished goods;30 - 60;Female;Availability of goods | Queues
At ten, they're big sometimes;30 - 60;Male;Look and feel
I don't mind being in the basement;30 - 60;Male;Other
Fresh goods, selection, staff;30 - 60;Female;Range of goods | Staff | Quality of goods
Small drugstore ...;< 30;Male;Range of goods
Well arranged store large selection of goods;< 30;Female;Clarity | Range of goods
Transparent, track vegetables and fruits;30 - 60;Female;Quality of FV | Pricing | Clarity | Quality of goods
I can't always find everything they have on offer.;60+;Female;Availability of goods | Availability of promo goods
More discounts and promotions, wider offer;60+;Male;Promotions | Range of goods
I'm almost satisfied here. It's clear, good goods;60+;Male;Arrangement of the store | Look and feel | Clarity | Range of goods | Quality of goods
Sometimes there are big queues;30 - 60;Female;Queues
It bothers the cash registers to introduce self-service;< 30;Male;Queues | Self-checkout
A small selection of baked goods, well fruit.;< 30;Male;Range of bakery | Range of goods
Selection of fresh baked goods;30 - 60;Male;Availability of goods | Availability of bakery
There are good events on stickers always nice goods. Disney.;30 - 60;Female;Promotions | Quality of goods
They should have more fresh meat choices;60+;Male;Range of meat | Range of goods
It's clear here, make a difference here;< 30;Female;Arrangement of the store | Clarity
Great queues, unpleasant staff;< 30;Male;Queues | Staff
There is no whole grain bread;60+;Female;Range of bakery | Range of goods
Small shop but helpful staff;30 - 60;Female;Space | Staff
Small selection, hard bread, rotten vegetables and fruits.;< 30;Female;Quality of FV | Quality of bakery | Range of goods | Quality of goods
Missing goods storage counters;30 - 60;Female;Arrangement of the store
Availability, friendly staff;< 30;Male;Availability of goods | Staff
Don't have Aha magazine, they have good prices;< 30;Female;Range of goods
There's a little mess here, they probably don't have people to clean up, homeless people come here to warm up;30 - 60;Male;Security | Cleanliness
Prices for the selling moment should be lower and are high.;< 30;Female;Pricing
Good parking at the shopping center Hloubětín.;60+;Male;Parking
They have no diapers. It is expensive and it is not.;< 30;Male;Pricing | Range of goods
Little space at the cash registers after they remade it.;< 30;Female;Space
We like the overall change of trade and food assortment;< 30;Female;Look and feel | Range of goods
Good prices on goods from the flyer.;< 30;Male;Pricing | Promotions
Self-service cash register, probably nothing more;30 - 60;Male;Self-checkout
It is now clear and have what I buy, good sausages and beer from Paka.;< 30;Female;Availability of goods | Clarity | Range of goods | Quality of goods
It is easily accessible and has many special offers and a large selection of goods;60+;Male;Promotions | Range of goods
Smaller space in the store and smaller selection of meat;60+;Female;Range of meat | Space | Range of goods
Increase space behind cash registers.;30 - 60;Female;Space
There's a large selection of self-service checkout, that's an advantage.;30 - 60;Female;Self-checkout | Range of goods
Everything okay, just a small shop.;< 30;Female;Space | Range of goods
Ordinary bigger shop, I don't care where to go shopping. The choice is here;60+;Female;Range of goods
Quality Czech food, milliard staff;60+;Female;Staff | Quality of goods
They've improved a lot, it's good.;30 - 60;Male;Look and feel
Everything in one place, great drugstore;30 - 60;Male;Availability of goods | Look and feel | Range of goods
It suits me here, good goods, supplemented, queues are not, staff friendly.;60+;Male;Availability of goods | Look and feel | Queues | Staff
I'll buy everything;60+;Female;Range of goods
I like it here, I'm happy here;30 - 60;Female;Look and feel
I buy different, depending on the event in different stores.;< 30;Female;Promotions
Good shopping here, it is a nice small shop. I praise most of the staff, they're doing well here.;60+;Female;Look and feel | Space | Staff
I have no problem, neatly arranged;< 30;Female;Look and feel
So here it is clear, prices affordable and it is about my habit;30 - 60;Female;Arrangement of the store | Pricing | Clarity
New business premises, better and clearer;30 - 60;Male;Arrangement of the store | Clarity | Space
Great, good delicacies, scarves;< 30;Male;Space | Quality of goods
Near my workplace;< 30;Male;Proximity
I don't like making the difference between a supermarket and a hypermarket;60+;Female;Other
There are sometimes thrown goods in the aisles;< 30;Female;Other
Larger store more space;< 30;Female;Arrangement of the store | Space
Satisfied with assortment except drinks;60+;Male;Range of goods
Shop absolutely in order, we have nothing to complain about, everything great.;30 - 60;Male;Look and feel
I'm not just buying here.;< 30;Female;Other
They have a great choice.;60+;Female;Range of goods
Sufficient selection not only of food, long queues.;30 - 60;Female;Queues
Sometimes the goods are not added;< 30;Female;Availability of goods
I like to go shopping here, nice staff;30 - 60;Male;Staff
There is only a problem with parking;< 30;Female;Parking
Small assortment of baked goods.;< 30;Male;Range of bakery | Range of goods
They have cheap beer and German quality goods;30 - 60;Male;Availability of goods | Pricing | Quality of goods
I don't know anything, it's good;30 - 60;Male;Other
To be small baskets, otherwise I am satisfied;60+;Male;Other
Expansion of assortment for oriental cuisine;30 - 60;Female;Range of goods
Long opening hours cheap assortment;60+;Male;Opening hours | Pricing | Range of goods
Self-service checkout at the store;30 - 60;Female;Self-checkout
It is easily accessible and convenient prices and I can take coffee with me;60+;Female;Pricing
Fruits and prices;60+;Female;Range of FV | Pricing | Range of goods
Good location cleanliness well-arranged shop;30 - 60;Female;Clarity | Proximity | Cleanliness
Uncomfortable staff;30 - 60;Female;Staff
Good and cheap energy drinks, fine self-service checkout.;< 30;Female;Pricing | Self-checkout | Quality of goods
They have a good bakery here and buy. For a good price;30 - 60;Male;Pricing | Quality of bakery | Quality of goods
I have no objections to the product range or quality. But most of the time there are queues at the checkout, even at the self-service.;30 - 60;Female;Queues | Self-checkout
We come here with my wife for bigger shopping, they have quality meat here;< 30;Female;Quality of meat | Range of goods | Quality of goods
Proximity and good choice;< 30;Female;Range of goods | Proximity
Good product range;< 30;Female;Range of goods
Friendly staff;60+;Male;Staff
It does not happen that they have sold out special goods, good price trade;60+;Female;Availability of goods | Pricing | Promotions | Availability of promo goods
Good offer, smiling saleswoman;30 - 60;Male;Range of goods | Staff
It should be bigger here, more like a hypermarket, it's small;< 30;Female;Space
Transparency, staff, distance;30 - 60;Female;Arrangement of the store | Clarity | Staff
Shop on the square near the church just on the way home and newly made;30 - 60;Male;Look and feel | Proximity
Employees are not professional at times;30 - 60;Female;Staff
More cashiers.;30 - 60;Female;Queues
Choosing a small, small shop, there's a mess, scattered meat so different;< 30;Male;Space | Range of goods | Cleanliness
It's close, there's an overview;< 30;Male;Arrangement of the store | Clarity | Proximity
I don't like wilted radishes.;60+;Female;Quality of FV | Quality of goods
What I need to buy here;< 30;Female;Range of goods
I like it here, I don't miss anything;60+;Female;Look and feel | Range of goods
Good parking, clarity, cleanly;< 30;Male;Parking | Clarity | Cleanliness
Very pleasant environment to shop a small shop;60+;Female;Look and feel | Space
I probably have no comments;60+;Male;Other
Long open, I go out with friends for a drink;< 30;Male;Opening hours
New, nice, spacious shop.;< 30;Male;Look and feel | Space
There are tracks;60+;Female;Pricing
