SENTIMENT;TEXT
Positive;Clean shop, quality meat, vegetables, fruits and pastries.
Positive;I like that it's clear and practical here
Negative;Occasionally there is a queue, little of a kind of salty pastry.
Negative;Something is good and something is not. E.g. I don't like the choice of baked goods I don't buy here
Positive;Satisfied had a nice well-completed store
Negative;Large queues at the checkout and little goods
Negative;They don't have foods that are in action.
Positive;Pleasant environment and a large selection of goods
Positive;For me better than supermarkets
Positive;I can't think of anything I wouldn't recommend.
Positive;Worse availability for those who do not have a car otherwise total satisfaction with the quality and range
Negative;Better supply action goods to be enough
Positive;I like fruits and vegetables, good pastries and overall I am satisfied.
Negative;It is not possible to pay in cash at self-service checkouts
Negative;Bad access to the store
Negative;They canceled the pastry I liked
Positive;Cheap goods
Negative;Evening is not a pastry, a larger range
Negative;Sometimes strangers rush in here and hang around here.
Positive;I have it near a large selection of goods
Negative;Queues at the cash registers and could be put in self-service cash registers and smaller carts because then they do not crawl between the shelves
Negative;I don't like the small shop premises
Negative;Queues at checkout. Small selection of goods.
Negative;Occasionally queue cash register otherwise ok
Positive;I am very satisfied here, how many people come here, so they try to maintain the business well
Positive;Lots of action, availability, opening hours
Positive;I come here regularly before school for snacks.
Positive;Pleasant environment, good quality.
Positive;It's my favorite store
Positive;Large spacious shop and fresh delicacies available.
Negative;Occasionally the queue cash register otherwise pleasant cashier
Positive;It's clear, nice saleswoman, enough goods
Negative;Open a counseling cafe or restaurant
Neutral;Nothing comes to mind at the moment
Negative;More cash registers, have a self-service cash register
Positive;They are nice here and I am very happy when the tip is trying not to walk.
Negative;After the rebuilding I wander and it is wrongly arranged, beer until the end of shopping when I have a full basket, the same goods are in several places
Negative;Vegetables are sometimes worse, pastries unfilled
Negative;Sometimes not added, remodeling shop, freshness total just fine
Positive;Transparency of the shop, assortment of goods
Negative;they often lack products on the shelves, things in action advertised in the flyer are not in action afterwards
Negative;Prices do not fit
Positive;They only have certain kinds of products, but the bread is good and fresh
Negative;Poor potatoes, I'm not happy with the choice of vegetables.
Positive;This shop is closest and I don't have to go anywhere to buy.
Neutral;Food selection
Neutral;It's a small shop. Premises ....
Negative;So sometimes I am not satisfied because the event is sold out.
Positive;Very good prices of goods and well-arranged shop
Negative;It's a terribly small shop
Positive;Lots of new assortment, super prices, new types of bakery - cheesecake.
Positive;Everything is better after rebuilding, beautiful storage boxes
Positive;Good shopping, spacious shop
Negative;Long advice at the checkout
Positive;Plenty of food, newer, more spacious shop.
Negative;Big queues. Cleaner.
Positive;So it is clear and not so big. That suits me
Positive;Shop super we are happy here are
Positive;I quickly bought what I wanted, clear and decent choice.
Positive;Fresh goods, large parking at the store
Positive;It's a very good deal, nice shopping here.
Negative;More open cash registers I would take.
Positive;Everything added, staff, fresh food.
Positive;I live close, I like it here
Positive;Helpful staff, good events
Positive;It's a good good action through the leaflets
Positive;Long queues, lots of food, good action.
Positive;It is good business and pleasant environment
Positive;I really like going here just here
Positive;Everything I need here is
Positive;I like here, cleanly, good food,
Negative;Confusing shop, reluctant staff
Neutral;Watch the freshness of delicacies
Positive;Pleasant environment, people had peace of mind
Negative;Very high prices and quality do not correspond at all to vegetables and meat
Positive;I got it here, I buy what I need, I know it here.
Negative;Faster checkout otherwise satisfaction
Positive;Great choice of goods, I like it here
Positive;I'm happy here have interesting events here
Negative;Sometimes I don't get special items, but at the moment I don't remember what specifically was missing in the rack.
Negative;Introduce self-service cash registers
Negative;Not enough space for wheelchairs even between shelves and cash registers
Negative;More open cash registers so there are no queues.
Negative;They don't have gifts for points I promise
Positive;Assortment have good, pleasant shop and service
Negative;More choice in dairy products
Positive;New, spacious, just a big rush today.
Positive;Clear, large shop, nice staff
Positive;Otherwise it is good and big here
Positive;Pleasant environment, quality of goods
Positive;The store is close to workplace, fresh bread and sausages, no queues.
Positive;Cheap goods, well ordered, clear
Positive;Good quality goods and assortment
Positive;It's close, they have everything necessary
Negative;Long-time self-service checkout for small purchases.
Positive;Quiet shop, not many people here and I buy well
Positive;I did not think about what to improve.
Positive;Good availability
Negative;The prices do not match, I bought chicken for 1200,- CZK.
